h;r;s;k_lsb
7a143bfddd768449bf2808513f35f53758020c1f;1a42a9c82c8eb242b832199d068bcfba53089fae7f4fcd02754893943d6bb884;a1c09c0f8ebf0a109673af60e6b5e270f2fa55b73f5314871486d3fe3480d942;1001001
73c9e4487fbebc39eb4dcd1d92a3ba92d9d41ef8;3b1f1f5fb4aab1366ddb9a90dbec9a305606fef4226aa8d29e22f50dca3275f8;772b335fab52f06d7e274cdbb478da9e1dfd4445d3fd58ddad2e8a2f4bd4dd97;110101
21f07d3d82c5f89df812c6d7fea96b5637a9bc0d;848f21ad03f005ddd4bd38d0623dc5042f452c3160315ef203a04f38fd1ca2ad;ef19a1aa75c4430439e7a0900499f03c4c0f65b787c5053ee2a18d24af108f87;1110011
1deebeeddef3d3385703be677f45c2c61c5176aa;e7c43a7d237695d8e74a5e841f1d5c19a4f99cfc34413c5046d6063e7e13430b;3fd1c99cf9aa68def64b829c133c4e142eeb80e36fab8d6d3cd569348af93f20;1100010
b787146842b6faa23e69f1e97c3ce997f1a0612e;8fdc3ab9597442f3b0084a405b8dd4e2e143ec38ef7dc9c92dcff0755f7afef1;c9cd09095cfb5aae68a8eb19049f271e1e7274f115733a9ba4862eb6e9478017;111110
68cf88eda82006e5fdc818b5ac0e9247b5c97db4;e6c69f2947bfc0e94ec41de13a21c50f5041a15ee728b24e6d77103130bc91e;91b9fb3c39ec0cc46f3a65d1e25c7671aeea883a2076ba27d978405a309cd7cf;1001001
4ddacfec5160ee3ffb04108ed575883d7585397d;6284198683d767d4d39ca7631972691719c1af456068811b64fb7e7d3cb6738;301c93e7fa0de59dc9c25869012aa92b18e9117f10fe75b3ff04f448c55003cc;1100100
3ff6701d470eb511e4e8d54d8c28d7e55a4a3f3f;2cdb804e31396d692c8ea5893e3f9aaaa30ab93ac12e7dadb35060ca1cbd4eeb;15995cc5781c30aafb52c2716c364e183876c63daeb6b98cd1aeb4907393dc94;1010101
68f4293eda88207d716bee27cbad956c4ae75e36;107b1829c5a3f7e2c3069f413c51df90fc752f0aa07b1b44dc11400e58b8d492;a79de81c865646c3fe64b1fff6b691b3a0f5b1d62a245bdc9aa164adba15098a;1110000
1ed643bb44b289f80fc5ee00888e806fb8e302a7;f034597807e471b89030f1c396da6d849c4980888cc3d4cdeb2fd43a652d582;360dfc5b75b1a8f645a3d91cbc544543407a4c8f598b888836b6cb32bfe91154;101100
3699af853fa54d7ed2616ab79fd8c30e8ace7322;b74cc8ad3e6d728a0d075fb4a8bdb17e1e3a1df7cd490a8efb6114e458ec6b0;8fcfb4e5657da3db296d6aaa38fc657f26f186249627865939e429d46ee2b3bd;1101
d2886dcd989ac6aefb50c78859387bb83a725fba;40b79935598f41e4adb30e3ff8a4356f9775c7bb5fc87ba32bb87d3fd22cc346;7d3e174a70c3ef037cb85978c794df2a295b730e9ba5f206d5c6dc47b89572fa;101101
c52f8146bb593ab792fe71c4b49f0c8b558afb8b;6142c46ebe976ac83d23ca08688ac509dd0f5b3d8ae415dc62f3dab1ffb4722b;a2dca9c320242405a56f04a35655a3fb4c352f6c9305452db167f9e5a87d2cc7;1110100
1bac4fb8dd9bda4ea94b0fb8eb1ea3866916fb4a;7e47d47880f20191879dba73d299f95999edd43dfe63b248817d0c8cfffa8a6a;bc4a3308539507f413a6000b7d6f66f012edb5dcdf5c447797b50fbf549a764b;110011
605c5f2b4933b30629d882d274947b4dc2a67807;b318ae7ffcccc1caa9a78a803cd50a12380718e5c6f6da6f19ee62332e38d608;980a037ac19434f7a3ad1cc570f28e80cf9d1a15d69d64ca8b584ba7bcfe82cd;100011
